algorithm,dataset,feature_type,train_percentage,avg_accuracy,std_accuracy,avg_time,std_time
naive_bayes,face,raw_pixel,0.1,0.7693333333333333,0.034512477614786076,0.2670421834,0.0020624877459377144
naive_bayes,face,raw_pixel,0.2,0.796,0.05046450898073482,0.26773909180000005,0.003672048478500103
naive_bayes,face,raw_pixel,0.3,0.8653333333333333,0.019663841605003486,0.2735075834,0.000913532379614546
naive_bayes,face,raw_pixel,0.4,0.864,0.030404678002643678,0.28036642499999986,0.0018794304604093958
naive_bayes,face,raw_pixel,0.5,0.8773333333333333,0.02431277670508064,0.28767022520000013,0.0011003669854609314
naive_bayes,face,raw_pixel,0.6,0.8693333333333333,0.008944271909999158,0.29043324980000007,0.0013495637678290007
naive_bayes,face,raw_pixel,0.7,0.8746666666666666,0.002981423969999739,0.296856125,0.0019115571254725357
naive_bayes,face,raw_pixel,0.8,0.8826666666666667,0.005962847939999478,0.3028629084000002,0.0017840496158908472
naive_bayes,face,raw_pixel,0.9,0.8893333333333333,0.010110500592068741,0.3114000081999997,0.0009747974517969976
naive_bayes,face,raw_pixel,1.0,0.88,0.0,0.31761916700000015,0.0013044546540478708
naive_bayes,face,sliding_window,0.1,0.716,0.025210227201585365,0.5749728584,0.0022421016201920017
naive_bayes,face,sliding_window,0.2,0.7453333333333333,0.022803508501982782,0.5725032250000005,0.0025935728373932304
naive_bayes,face,sliding_window,0.3,0.764,0.022900752049756893,0.5762513665999996,0.0039224158319894785
naive_bayes,face,sliding_window,0.4,0.776,0.029287843515318403,0.5828877166000005,0.004097928221815459
naive_bayes,face,sliding_window,0.5,0.7853333333333333,0.014452988925785837,0.5825333084000007,0.008115534698789516
naive_bayes,face,sliding_window,0.6,0.7853333333333333,0.010954451150103331,0.578182224999999,0.0033772444069649554
naive_bayes,face,sliding_window,0.7,0.7946666666666666,0.0073029674334022165,0.5792475914,0.00236089526555392
naive_bayes,face,sliding_window,0.8,0.7973333333333333,0.012110601416389987,0.5824350167999981,0.00536036406196784
naive_bayes,face,sliding_window,0.9,0.8133333333333334,0.010540925533894577,0.5933573334000002,0.0075071868076971105
naive_bayes,face,sliding_window,1.0,0.8066666666666666,0.0,0.5929896501999977,0.00878710181726501
naive_bayes,digit,raw_pixel,0.1,0.7598,0.010940749517286292,1.0451667997999992,0.0072111435129841
naive_bayes,digit,raw_pixel,0.2,0.764,0.003082207001484491,1.0553091083999988,0.007887295878563762
naive_bayes,digit,raw_pixel,0.3,0.7722,0.01138859078200636,1.0812361915999986,0.014997705200213603
naive_bayes,digit,raw_pixel,0.4,0.7684,0.004827007354458872,1.088540766599999,0.016461733122979882
naive_bayes,digit,raw_pixel,0.5,0.772,0.0036742346141747702,1.1003602583999992,0.029305121885948793
naive_bayes,digit,raw_pixel,0.6,0.771,0.007071067811865481,1.1274525417999997,0.02705073974735425
naive_bayes,digit,raw_pixel,0.7,0.7714,0.005224940191045257,1.1099916831999992,0.015570714686924936
naive_bayes,digit,raw_pixel,0.8,0.7694,0.003911521443121593,1.1259163661999991,0.015978174503027083
naive_bayes,digit,raw_pixel,0.9,0.7726000000000001,0.0024083189157584613,1.1541399082,0.021355254772385104
naive_bayes,digit,raw_pixel,1.0,0.773,0.0,1.1726414752000038,0.019260473741592253
naive_bayes,digit,sliding_window,0.1,0.7328,0.00920326029187484,1.128131399999998,0.011830917007580552
naive_bayes,digit,sliding_window,0.2,0.749,0.011704699910719636,1.1251691166000028,0.009665807191363457
naive_bayes,digit,sliding_window,0.3,0.7488,0.00933809402394301,1.1324482418000001,0.009812911966409866
naive_bayes,digit,sliding_window,0.4,0.7486,0.008354639429682176,1.1347781416000005,0.01401402796042869
naive_bayes,digit,sliding_window,0.5,0.748,0.00509901951359279,1.1346327917999985,0.011399614000982421
naive_bayes,digit,sliding_window,0.6,0.7512,0.0034928498393145993,1.134642866400003,0.012616358696647656
naive_bayes,digit,sliding_window,0.7,0.751,0.004301162633521317,1.1395226834000027,0.0077458398154714725
naive_bayes,digit,sliding_window,0.8,0.7532,0.0034928498393145993,1.1467568586000028,0.011068670372432286
naive_bayes,digit,sliding_window,0.9,0.7548,0.002489979919597749,1.1666858753999976,0.01733711777684698
naive_bayes,digit,sliding_window,1.0,0.754,0.0,1.1623916163999923,0.01919353047867187
perceptron,face,raw_pixel,0.1,0.764,0.04844240566555985,0.32667507499999715,0.025145275085168547
perceptron,face,raw_pixel,0.2,0.8253333333333334,0.034769079494414136,0.45231571660000325,0.031833270101449325
perceptron,face,raw_pixel,0.3,0.8493333333333334,0.023380903889000253,0.6594263000000069,0.054107548647292836
perceptron,face,raw_pixel,0.4,0.8533333333333333,0.022607766610417558,0.8134561834000067,0.10849241516375666
perceptron,face,raw_pixel,0.5,0.848,0.010954451150103326,0.9690824752000026,0.15473212714282883
perceptron,face,raw_pixel,0.6,0.864,0.03546516287538768,1.0825353750000033,0.1840891806956594
perceptron,face,raw_pixel,0.7,0.848,0.02076321533652991,1.3347923999999978,0.23728774891563592
perceptron,face,raw_pixel,0.8,0.884,0.016055459438389704,1.4468478250000032,0.19239010583670688
perceptron,face,raw_pixel,0.9,0.876,0.012995725793078611,1.8072924418000127,0.44667675117013056
perceptron,face,raw_pixel,1.0,0.8826666666666667,0.0036514837167011312,2.1563085833999933,0.3273360640915851
perceptron,face,sliding_window,0.1,0.6453333333333333,0.009888264649460899,0.5719894166000017,0.009101594934970446
perceptron,face,sliding_window,0.2,0.668,0.005577733510227167,0.5928652081999986,0.004758722924525425
perceptron,face,sliding_window,0.3,0.724,0.03788872596902085,0.6270888918000083,0.0112104007529165
perceptron,face,sliding_window,0.4,0.712,0.017256238807393035,0.6853316665999956,0.04346010166106148
perceptron,face,sliding_window,0.5,0.74,0.021602468994692852,0.7158137251999961,0.015089777959218295
perceptron,face,sliding_window,0.6,0.7413333333333333,0.017888543819998298,0.8055182082000101,0.05530146399194711
perceptron,face,sliding_window,0.7,0.7213333333333334,0.008692269873603541,0.8832420417999913,0.10442388788266024
perceptron,face,sliding_window,0.8,0.7653333333333333,0.027243755655603406,0.8654513334000058,0.06318480081323355
perceptron,face,sliding_window,0.9,0.7506666666666667,0.025647178748895147,0.9413706164000019,0.06621360827840288
perceptron,face,sliding_window,1.0,0.76,0.02943920288775947,0.9932366752000007,0.06700099818297778
perceptron,digit,raw_pixel,0.1,0.7606,0.014501724035438007,4.828955425000009,0.28302232024276835
perceptron,digit,raw_pixel,0.2,0.7762,0.014007141035914515,9.255598991399996,0.022516900014828263
perceptron,digit,raw_pixel,0.3,0.7738,0.007362064927722391,13.86047829979998,0.27726982509084325
perceptron,digit,raw_pixel,0.4,0.778,0.014265342617687119,18.46188572479999,0.9567297525073357
perceptron,digit,raw_pixel,0.5,0.7944,0.013612494260788517,22.45877505860002,0.4229523640002528
perceptron,digit,raw_pixel,0.6,0.7928000000000001,0.004324349662087935,27.662428191599997,1.032336740412163
perceptron,digit,raw_pixel,0.7,0.7986000000000001,0.013069047402163645,31.209217383600002,0.36723312988870727
perceptron,digit,raw_pixel,0.8,0.8012,0.005357238094391554,35.399676808399974,0.06917796763885549
perceptron,digit,raw_pixel,0.9,0.8098000000000001,0.006760177512462188,39.68541211680004,0.05540355718549479
perceptron,digit,raw_pixel,1.0,0.7916000000000001,0.01771440092128437,44.419808983199935,0.3709946069472766
perceptron,digit,sliding_window,0.1,0.7044,0.021419617176784447,1.8966130088000228,0.012971716318474534
perceptron,digit,sliding_window,0.2,0.742,0.012328828005937964,2.7803869081999437,0.011039542062586082
perceptron,digit,sliding_window,0.3,0.754,0.011618950038622261,3.6724219918000474,0.011164721000478354
perceptron,digit,sliding_window,0.4,0.758,0.02031009601158992,4.533172100199954,0.016048032650581266
perceptron,digit,sliding_window,0.5,0.7766000000000001,0.022187834504520734,5.417340075200036,0.015548296323857638
perceptron,digit,sliding_window,0.6,0.766,0.02544602129999897,6.272269816600056,0.03272604293453884
perceptron,digit,sliding_window,0.7,0.7682,0.025302173819654335,7.146347758199954,0.02453293466443017
perceptron,digit,sliding_window,0.8,0.7842,0.018939376969689385,8.003762499799995,0.029233323011680357
perceptron,digit,sliding_window,0.9,0.7748,0.03272919186292265,8.875145075200043,0.017792254180682907
perceptron,digit,sliding_window,1.0,0.7808,0.014703741020570255,9.751399399799993,0.026906203646256267
